Date,XLK,XLC,XLY,XLE,XLI,XLV,XLP,XLB
2010-01-04,9.36761474609375,,12.284140586853027,17.144628524780273,20.871437072753906,23.879541397094727,17.13189697265625,11.971748352050781
2010-01-05,9.3555326461792,,12.329182624816895,17.284563064575195,20.945131301879883,23.645353317260742,17.138324737548828,12.010457038879395
2010-01-06,9.250869750976562,,12.345560073852539,17.49153709411621,20.989351272583008,23.8870906829834,17.12547492980957,12.214564323425293
2010-01-07,9.214638710021973,,12.44792652130127,17.46530532836914,21.21782875061035,23.970190048217773,17.12547492980957,12.119548797607422
2010-01-08,9.275022506713867,,12.443832397460938,17.579004287719727,21.556835174560547,24.007951736450195,17.067670822143555,12.288459777832031
2010-01-11,9.238792419433594,,12.419262886047363,17.555673599243164,21.792659759521484,24.143943786621094,17.112628936767578,12.221601486206055
2010-01-12,9.138154029846191,,12.259570121765137,17.302045822143555,21.615802764892578,23.970190048217773,17.2089900970459,11.989341735839844
2010-01-13,9.226716041564941,,12.398791313171387,17.366182327270508,21.704227447509766,24.28746795654297,17.331031799316406,12.130104064941406
2010-01-14,9.250869750976562,,12.398791313171387,17.415746688842773,21.704227447509766,24.50654411315918,17.279647827148438,11.982307434082031
2010-01-15,9.122048377990723,,12.275948524475098,17.275814056396484,21.424179077148438,24.34035301208496,17.196138381958008,11.894331932067871
2010-01-19,9.27904987335205,,12.439738273620605,17.43323516845703,21.660017013549805,24.92959976196289,17.29892349243164,12.084359169006348
2010-01-20,9.130102157592773,,12.271852493286133,17.162113189697266,21.328367233276367,24.718076705932617,17.170446395874023,11.869699478149414
2010-01-21,9.033486366271973,,12.116256713867188,16.81228256225586,20.834585189819336,24.18170928955078,16.926349639892578,11.355920791625977
2010-01-22,8.719491004943848,,11.882856369018555,16.412883758544922,20.51768684387207,23.917299270629883,16.88780403137207,11.130701065063477
2010-01-25,8.791950225830078,,11.944279670715332,16.52076530456543,20.650339126586914,23.917299270629883,16.919931411743164,11.229231834411621
2010-01-26,8.767792701721191,,11.960657119750977,16.415813446044922,20.561904907226562,23.781326293945312,16.900653839111328,11.070880889892578
2010-01-27,8.840255737304688,,11.981128692626953,16.35167694091797,20.620859146118164,23.947526931762695,16.939193725585938,10.975861549377441
2010-01-28,8.586642265319824,,11.91152286529541,16.179670333862305,20.385019302368164,23.79643440246582,16.894235610961914,10.778800964355469
2010-01-29,8.43769645690918,,11.837817192077637,15.88814926147461,20.178674697875977,23.630237579345703,16.82999038696289,10.606365203857422
2010-02-01,8.534310340881348,,11.989317893981934,16.412883758544922,20.48084259033203,23.766220092773438,16.95846176147461,11.028646469116211
2010-02-02,8.618849754333496,,12.157200813293457,16.628618240356445,20.871437072753906,24.25725746154785,17.202564239501953,11.063841819763184
2010-02-03,8.638973236083984,,12.165389060974121,16.485774993896484,20.746152877807617,23.93242073059082,17.08051300048828,10.937150001525879
2010-02-04,8.397438049316406,,11.813246726989746,15.80943489074707,20.13444709777832,23.328062057495117,16.733633041381836,10.528948783874512
2010-02-05,8.481978416442871,,11.780488967895508,15.812348365783691,20.0460147857666,23.290294647216797,16.68867301940918,10.7260103225708
2010-02-08,8.445745468139648,,11.706783294677734,15.666592597961426,19.82491111755371,23.176971435546875,16.669401168823242,10.553583145141602
2010-02-09,8.518210411071777,,11.886950492858887,15.996006965637207,20.208152770996094,23.358278274536133,16.868532180786133,10.810468673706055
2010-02-10,8.494053840637207,,11.837817192077637,15.928962707519531,20.178674697875977,23.214738845825195,16.849260330200195,10.736573219299316
2010-02-11,8.582618713378906,,11.97703742980957,16.2000789642334,20.48084259033203,23.37339210510254,16.984161376953125,10.91955852508545
2010-02-12,8.598716735839844,,11.97703742980957,16.205907821655273,20.318696975708008,23.32050323486328,16.984161376953125,10.898448944091797
2010-02-16,8.727540969848633,,12.169488906860352,16.587810516357422,20.7977352142334,23.52447509765625,17.157596588134766,11.172931671142578
2010-02-17,8.751693725585938,,12.267759323120117,16.564485549926758,20.974613189697266,23.705780029296875,17.279647827148438,11.17996883392334
2010-02-18,8.808053970336914,,12.345560073852539,16.65777015686035,21.166236877441406,23.81909942626953,17.382427215576172,11.299614906311035
2010-02-19,8.78389835357666,,12.37421989440918,16.721904754638672,21.2694091796875,23.81909942626953,17.42097282409668,11.362958908081055
